Ahuyama,Arveja verde en vaina,Cebolla cabezona blanca,Cebolla junca,Chocolo mazorca,Fríjol verde*,Habichuela,Lechuga batavia,Pepino cohombro,Pimentón,Remolacha,Zanahoria,Aguacate *,Banano*,Granadilla,Guayaba*,Limón común,Limón Tahití,Lulo,Mandarina*,Mango tommy,Manzana royal gala,Maracuyá,Mora de Castilla,Naranja*,Papaya maradol,Piña *,Tomate de árbol,Arracacha*,Plátano hartón verde
625.0,3900.0,558.0,867.0,1330.0,3000.0,1740.0,1517.0,640.0,2786.0,783.0,1667.0,4750.0,1350.0,4167.0,1900.0,2000.0,2614.0,2717.0,1856.0,1591.0,4211.0,3050.0,3750.0,783.0,1088.0,800.0,1630.0,1250.0,1250.0
625,3833,550,783,1600,3050,1483,1458,600,2679,800,1458,4750,1350,4267,1842,2080,2386,2717,2045,1591,4211,3000,3750,800,1194,783,1587,1333,1250
625.0,3900.0,470.0,833.0,1200.0,2800.0,1600.0,1600.0,640.0,2857.0,820.0,1375.0,4300.0,1375.0,4500.0,1700.0,2159.0,2159.0,2826.0,1932.0,1591.0,4342.0,2433.0,730.0,730.0,1167.0,1739.0,1739.0,1350.0,1350.0
625.0,4700.0,400.0,900.0,1450.0,3050.0,1683.0,1600.0,600.0,2500.0,1000.0,1250.0,4250.0,1375.0,1542.0,1542.0,2008.0,2008.0,2717.0,1932.0,1496.0,4474.0,2375.0,660.0,660.0,1278.0,706.0,1891.0,1333.0,1442.0
594,4700,430,917,1358,3117,1980,1550,600,2440,1200,1292,3867,1400,4533,1550,1920,1932,2717,1591,1523,4474,2500,3000,680,1361,700,1913,1000,1350
625.0,4233.0,393.0,911.0,1300.0,3040.0,2467.0,1567.0,800.0,2500.0,1000.0,1361.0,3500.0,1383.0,4667.0,1600.0,1727.0,1727.0,2717.0,1591.0,1591.0,4342.0,2433.0,700.0,700.0,1333.0,733.0,1804.0,1042.0,1500.0
594.0,4233.0,430.0,867.0,1400.0,2833.0,2100.0,1200.0,800.0,2292.0,950.0,1125.0,3800.0,1400.0,4233.0,1500.0,1520.0,1458.0,2717.0,1364.0,1686.0,4342.0,2500.0,3000.0,700.0,1458.0,1957.0,1957.0,1108.0,1619.0
547.0,4180.0,400.0,833.0,1270.0,3100.0,1683.0,1200.0,800.0,2649.0,950.0,1108.0,3250.0,1400.0,4833.0,1500.0,1600.0,1364.0,2717.0,1364.0,1705.0,4342.0,2500.0,760.0,760.0,1389.0,733.0,1848.0,1675.0,1675.0
594.0,5000.0,380.0,950.0,1200.0,3200.0,2067.0,1250.0,1000.0,2679.0,900.0,1042.0,3000.0,1400.0,1467.0,1467.0,1477.0,1477.0,2826.0,1364.0,1591.0,4605.0,2667.0,2500.0,1481.0,1481.0,733.0,1848.0,1633.0,1633.0
549,4167,370,917,1275,3000,2317,1250,1000,2571,1000,1042,2750,1400,5167,1500,1224,1136,2826,1477,1682,4474,2850,2500,730,1361,800,1957,1267,1708
563.0,3433.0,380.0,950.0,1200.0,2717.0,2700.0,1467.0,1000.0,2857.0,1108.0,1108.0,3000.0,1392.0,5000.0,1500.0,1136.0,1136.0,1477.0,1477.0,1705.0,4474.0,2750.0,3000.0,740.0,733.0,733.0,1841.0,1625.0,1625.0
3600.0,3600.0,400.0,1033.0,1100.0,3000.0,2940.0,2000.0,1100.0,2786.0,1083.0,1083.0,3000.0,1433.0,1500.0,1500.0,1061.0,1061.0,2935.0,1477.0,1818.0,4737.0,2900.0,3000.0,787.0,1389.0,800.0,2000.0,1250.0,1950.0
563.0,4250.0,525.0,833.0,1142.0,3050.0,2883.0,1758.0,1000.0,2708.0,1183.0,1125.0,2750.0,1400.0,1500.0,1500.0,1368.0,2935.0,2935.0,1955.0,1773.0,5000.0,2500.0,730.0,730.0,1407.0,667.0,2011.0,1417.0,2000.0
563.0,4560.0,510.0,883.0,1200.0,2800.0,2867.0,1500.0,1140.0,2857.0,1100.0,1208.0,2667.0,1400.0,5222.0,1500.0,2978.0,2978.0,2978.0,1818.0,1705.0,4737.0,2500.0,700.0,700.0,1444.0,667.0,2065.0,1333.0,1950.0
563.0,4500.0,467.0,883.0,1180.0,3040.0,2467.0,1300.0,1173.0,2738.0,1000.0,1125.0,1375.0,1375.0,5267.0,1600.0,1023.0,1023.0,2891.0,1667.0,1477.0,4737.0,2300.0,700.0,700.0,1444.0,733.0,2174.0,1900.0,1900.0
531.0,4300.0,550.0,889.0,1200.0,3050.0,2300.0,1400.0,1067.0,2857.0,950.0,1167.0,3000.0,1475.0,5167.0,1600.0,886.0,886.0,2935.0,1545.0,1364.0,5000.0,2100.0,3000.0,700.0,1361.0,767.0,2174.0,1458.0,1850.0
594.0,3350.0,500.0,833.0,1050.0,2800.0,1267.0,1517.0,1100.0,2649.0,850.0,1108.0,2900.0,1325.0,4833.0,1700.0,1200.0,871.0,2935.0,1591.0,1705.0,5000.0,1600.0,750.0,750.0,1204.0,633.0,2174.0,2042.0,2042.0
